code;class;sex;prevalence
B27;ICD_codes;male;0.0013698630136986301
F13;ICD_codes;male;0.0013698630136986301
749;Phecodes;male;0.0013729977116704805
263;Phecodes;male;0.0013729977116704805
360;Phecodes;male;0.0013729977116704805
962;Phecodes;male;0.0013729977116704805
W99;ICD_codes;female;0.001451378809869376
F63;ICD_codes;female;0.001451378809869376
Z94;ICD_codes;female;0.001451378809869376
G20;ICD_codes;female;0.001451378809869376
D14;ICD_codes;female;0.001451378809869376
S36;ICD_codes;female;0.001451378809869376
T51;ICD_codes;female;0.001451378809869376
I71;ICD_codes;female;0.001451378809869376
L97;ICD_codes;female;0.001451378809869376
C91;ICD_codes;female;0.001451378809869376
L89;ICD_codes;female;0.001451378809869376
332;Phecodes;female;0.001452960406828914
447;Phecodes;female;0.001452960406828914
G96;ICD_codes;female;0.00181422351233672
B94;ICD_codes;female;0.00181422351233672
A41;ICD_codes;female;0.00181422351233672
A37;ICD_codes;female;0.00181422351233672
I65;ICD_codes;female;0.00181422351233672
E10;ICD_codes;female;0.00181422351233672
B26;ICD_codes;female;0.00181422351233672
J41;ICD_codes;female;0.00181422351233672
S33;ICD_codes;female;0.00181422351233672
C96;ICD_codes;female;0.00181422351233672
F19;ICD_codes;female;0.00181422351233672
I12;ICD_codes;female;0.00181422351233672
I31;ICD_codes;female;0.00181422351233672
I61;ICD_codes;female;0.00181422351233672
334;Phecodes;female;0.0018162005085361425
158;Phecodes;female;0.0018162005085361425
L64;ICD_codes;male;0.0018264840182648401
T48;ICD_codes;male;0.0018264840182648401
Z42;ICD_codes;male;0.0018264840182648401
G60;ICD_codes;male;0.0018264840182648401
I72;ICD_codes;male;0.0018264840182648401
H71;ICD_codes;male;0.0018264840182648401
D33;ICD_codes;male;0.0018264840182648401
D32;ICD_codes;male;0.0018264840182648401
B09;ICD_codes;male;0.0018264840182648401
H74;ICD_codes;male;0.0018264840182648401
Y65;ICD_codes;male;0.0018264840182648401
S66;ICD_codes;male;0.0018264840182648401
Q85;ICD_codes;male;0.0018264840182648401
D11;ICD_codes;male;0.0018264840182648401
Z15;ICD_codes;male;0.0018264840182648401
K66;ICD_codes;male;0.0018264840182648401
E74;ICD_codes;male;0.0018264840182648401
